subject	set_name	measure	direct_contrast_nps	paired_condition_nps	contrast	difference_direct_minus_paired	same_sign
sub-21	main	signature_weighted_mean	-0.0042279410937465	-0.0038003278217028	up_minus_passive	-0.00042761327204369993	True
sub-22	main	signature_weighted_mean	0.0076996865916782	0.0065269028608585	up_minus_passive	0.0011727837308197	True
sub-23	main	signature_weighted_mean	0.0065437382882649	0.0092441588705711	up_minus_passive	-0.0027004205823062	True
sub-24	main	signature_weighted_mean	-0.0020676352470675	-0.0017922708235078	up_minus_passive	-0.00027536442355970006	True
sub-25	main	signature_weighted_mean	-0.0088367040683975	-0.0119972019093923	up_minus_passive	0.0031604978409948	True
sub-26	main	signature_weighted_mean	0.0013585055921157	-0.0032582509664558	up_minus_passive	0.0046167565585714995	False
sub-27	main	signature_weighted_mean	-0.0068471544063452	-0.0031364969534556	up_minus_passive	-0.0037106574528896	True
sub-28	main	signature_weighted_mean	-0.0259857586692408	-0.0274632197209458	up_minus_passive	0.0014774610517050007	True
sub-29	main	signature_weighted_mean	0.0007310506445555	0.0008417934237916	up_minus_passive	-0.00011074277923609995	True
sub-30	main	signature_weighted_mean	-0.0142172266357686	-0.0133921187397089	up_minus_passive	-0.0008251078960597007	True
sub-31	main	signature_weighted_mean	-0.0053800258848675	-0.0055032536449873	up_minus_passive	0.0001232277601198005	True
sub-32	main	signature_weighted_mean	-0.002332581483443	-0.0010465498270148	up_minus_passive	-0.0012860316564281998	True
sub-33	main	signature_weighted_mean	-0.0054576496254699	-0.004192692776581	up_minus_passive	-0.0012649568488889004	True
sub-01	main	signature_dot	-1.07352876663208	-1.22268545627594	up_minus_passive	0.14915668964385986	True
sub-02	main	signature_dot	-3.003690481185913	-1.989287674427033	up_minus_passive	-1.0144028067588802	True
sub-03	main	signature_dot	-0.2175905257463455	-0.3245109319686891	up_minus_passive	0.10692040622234358	True
sub-04	main	signature_dot	-1.0231726169586182	-1.1197394505143166	up_minus_passive	0.0965668335556984	True
sub-05	main	signature_dot	0.0528581887483596	0.1462490558624272	up_minus_passive	-0.0933908671140676	True
sub-06	main	signature_dot	55.101600646972656	-4.674057841300964	up_minus_passive	59.77565848827362	False
sub-07	main	signature_dot	-0.8609511852264404	-0.556272029876709	up_minus_passive	-0.30467915534973145	True
sub-08	main	signature_dot	-0.8110813498497009	-0.5533534288406372	up_minus_passive	-0.2577279210090637	True
sub-09	main	signature_dot	-0.7349655032157898	-0.6844102200120686	up_minus_passive	-0.05055528320372116	True
sub-10	main	signature_dot	-0.6430319547653198	-1.026654303073883	up_minus_passive	0.38362234830856323	True
sub-11	main	signature_dot	-0.1045238971710205	0.2551979422569275	up_minus_passive	-0.359721839427948	False
sub-12	main	signature_dot	0.1354277729988098	0.1506772935390473	up_minus_passive	-0.01524952054023751	True
sub-13	main	signature_dot	-0.1522615849971771	-0.6048921644687653	up_minus_passive	0.45263057947158813	True
sub-14	main	signature_dot	-0.0967800170183181	0.0358386039733886	up_minus_passive	-0.1326186209917067	False
sub-15	main	signature_dot	-0.8875932693481445	-0.3254485130310054	up_minus_passive	-0.5621447563171391	True
sub-16	main	signature_dot	-0.6558030247688293	-0.8818365335464482	up_minus_passive	0.22603350877761885	True
sub-17	main	signature_dot	-0.6772696375846863	-0.8136680126190183	up_minus_passive	0.13639837503433205	True
sub-18	main	signature_dot	-1.223463535308838	-0.9063376188278198	up_minus_passive	-0.31712591648101807	True
sub-19	main	signature_dot	-0.3923037052154541	-0.6963708996772764	up_minus_passive	0.3040671944618223	True
sub-20	main	signature_dot	-0.2681145668029785	-0.4131088815629481	up_minus_passive	0.1449943147599696	True
sub-21	main	signature_dot	-0.394231379032135	-0.3543588817119598	up_minus_passive	-0.039872497320175226	True
sub-22	main	signature_dot	0.7179518342018127	0.6085964441299443	up_minus_passive	0.10935539007186845	True
sub-23	main	signature_dot	0.6101662516593933	0.8619650602340698	up_minus_passive	-0.2517988085746765	True
sub-24	main	signature_dot	-0.1927951872348785	-0.167119026184082	up_minus_passive	-0.02567616105079651	True
sub-25	main	signature_dot	-0.823972225189209	-1.1186706125736237	up_minus_passive	0.2946983873844147	True
sub-26	main	signature_dot	0.1266728937625885	-0.3038133084774017	up_minus_passive	0.4304862022399902	False
sub-27	main	signature_dot	-0.6384580731391907	-0.2924604415893553	up_minus_passive	-0.34599763154983537	True
sub-28	main	signature_dot	-2.423023700714112	-2.5607885122299194	up_minus_passive	0.13776481151580722	True
sub-29	main	signature_dot	0.0681663006544113	0.0784924328327179	up_minus_passive	-0.010326132178306593	True
sub-30	main	signature_dot	-1.3256752490997314	-1.248738646507263	up_minus_passive	-0.07693660259246848	True
sub-31	main	signature_dot	-0.501656711101532	-0.5131469964981079	up_minus_passive	0.011490285396575928	True
